n_points,naive_time,optimized_time,naive_rate,optimized_rate,speedup,naive_clusters,optimized_clusters,naive_noise_pct,optimized_noise_pct,naive_avg_cluster_size,optimized_avg_cluster_size,naive_separation_ratio,optimized_separation_ratio
10000,1.8581264019012451,0.6993899345397949,5381.765196257878,14298.17546141852,2.656781732387827,6,6,12.770000000000001,12.78,1453.8333333333333,1453.6666666666667,7.843671885603601,7.8266752696874
20000,16.447999000549316,6.041001558303833,1215.9533812795135,3310.7092933138583,2.722727157376784,11,11,7.835,7.85,1675.7272727272727,1675.4545454545455,7.262662743809333,7.091192904390977
30000,20.48778200149536,4.789318799972534,1464.2873492997126,6263.938829917116,4.277807107268126,14,14,5.7700000000000005,5.800000000000001,2019.2142857142858,2018.5714285714287,6.778362289186594,6.822829929741526
40000,30.37274694442749,7.5880303382873535,1316.9701138058845,5271.460209926908,4.002718174593215,12,12,4.9525,4.9750000000000005,3168.25,3167.5,7.153270528224606,7.103936266109387
50000,57.179996967315674,14.747525691986084,874.4316658250299,3390.399246917086,3.877260373134167,12,12,4.376,4.382,3984.3333333333335,3984.0833333333335,7.14829674210422,7.275116840143275
60000,72.55460786819458,40.45604133605957,826.9633282147737,1483.0912273791942,1.7934183739209473,12,12,3.936666666666667,3.9383333333333335,4803.166666666667,4803.083333333333,9.277347595053133,9.013182481732684
70000,244.3629412651062,58.16092777252197,286.4591481736091,1203.5571418974403,4.201496616781189,13,13,3.6457142857142855,3.65,5188.307692307692,5188.076923076923,10.825637433439638,10.44590782454395
80000,356.9737186431885,95.72780346870422,224.10613393072686,835.7028689805253,3.729049510259493,14,14,3.3687500000000004,3.38125,5521.785714285715,5521.071428571428,9.904155147174007,10.435414338433112
90000,384.47915959358215,57.399128675460815,234.082908668276,1567.9680524223124,6.698344878499071,18,18,3.118888888888889,3.1311111111111107,4844.055555555556,4843.444444444444,10.247199030094185,10.083309666525453
100000,287.1776945590973,44.69052743911743,348.2164593372392,2237.610646601374,6.425918668118736,17,17,2.883,2.8930000000000002,5712.764705882353,5712.176470588235,10.276850012844069,10.524198227484527
