n_points,naive_time,optimized_time,speedup,naive_clusters,optimized_clusters,naive_noise_pct,optimized_noise_pct
1000,0.8949134349822998,0.06343650817871094,14.107230373733426,3,2,66.0,52.5
2000,3.6076669692993164,0.15178465843200684,23.768324194077888,3,3,38.05,31.05
3000,8.286524772644043,0.279066801071167,29.69369606430122,4,4,25.7,22.2
4000,14.61583948135376,0.3731415271759033,39.16969411572269,4,4,22.025,20.175
5000,23.14509415626526,0.5358741283416748,43.19128864812052,4,6,20.86,17.98
6000,33.81570768356323,0.715954065322876,47.23167214409665,5,8,19.28333333333333,15.866666666666667
7000,47.09722328186035,0.7696123123168945,61.19603666432465,9,7,17.014285714285716,14.742857142857144
8000,63.101412534713745,0.9638066291809082,65.47102979395413,8,7,15.8,13.950000000000001
9000,82.19213581085205,1.1693966388702393,70.28593471096201,7,6,15.299999999999999,13.3
10000,158.7872772216797,1.5477609634399414,102.59160230322038,7,6,14.32,12.78
